starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 10 01:55:06 2019	1547052906	0	1187	1187	348
Thu Jan 10 01:55:06 2019	1547052906	0	1188	1189	305
Thu Jan 10 01:55:05 2019	1547052905	0	1189	1189	46
Thu Jan 10 01:55:07 2019	1547052907	0	1190	1190	321
Thu Jan 10 01:55:07 2019	1547052907	0	1190	1191	235
Thu Jan 10 01:55:06 2019	1547052906	0	1191	1191	814
Thu Jan 10 01:55:07 2019	1547052907	0	1192	1192	470
Thu Jan 10 01:55:06 2019	1547052906	0	1197	1197	395
Thu Jan 10 01:55:06 2019	1547052906	0	1197	1197	380
Thu Jan 10 01:55:04 2019	1547052904	0	1202	1202	813
Thu Jan 10 01:55:04 2019	1547052904	0	1210	1210	1071
Thu Jan 10 01:55:05 2019	1547052905	0	1216	1217	382
Thu Jan 10 01:55:04 2019	1547052904	0	1220	1220	838
Thu Jan 10 01:55:07 2019	1547052907	0	1227	1228	863
Thu Jan 10 01:55:07 2019	1547052907	0	1230	1230	825
Thu Jan 10 01:55:05 2019	1547052905	0	1234	1235	375
Thu Jan 10 01:55:05 2019	1547052905	0	1236	1236	383
Thu Jan 10 01:55:07 2019	1547052907	0	1238	1238	1027
Thu Jan 10 01:55:05 2019	1547052905	0	1247	1247	434
Thu Jan 10 01:55:06 2019	1547052906	0	1256	1256	382
Thu Jan 10 01:55:06 2019	1547052906	0	1259	1259	855
Thu Jan 10 01:55:06 2019	1547052906	0	1260	1260	475
Thu Jan 10 01:55:07 2019	1547052907	0	1260	1260	1026
Thu Jan 10 01:55:06 2019	1547052906	1	1259	1260	474
Thu Jan 10 01:55:06 2019	1547052906	0	1261	1261	855
Thu Jan 10 01:55:04 2019	1547052904	0	1262	1262	802
Thu Jan 10 01:55:06 2019	1547052906	0	1268	1268	286
Thu Jan 10 01:55:03 2019	1547052903	2	1271	1273	692
Thu Jan 10 01:55:03 2019	1547052903	2	1273	1275	826
Thu Jan 10 01:55:06 2019	1547052906	0	1283	1283	499
Thu Jan 10 01:55:06 2019	1547052906	0	1287	1287	506
Thu Jan 10 01:55:06 2019	1547052906	0	1287	1287	504
Thu Jan 10 01:55:06 2019	1547052906	0	1287	1288	500
Thu Jan 10 01:55:06 2019	1547052906	0	1287	1288	506
Thu Jan 10 01:55:06 2019	1547052906	1	1287	1288	503
Thu Jan 10 01:55:03 2019	1547052903	2	1292	1294	415
Thu Jan 10 01:55:05 2019	1547052905	0	1295	1295	895
Thu Jan 10 01:55:07 2019	1547052907	0	1296	1296	1140
Thu Jan 10 01:55:08 2019	1547052908	0	1297	1298	1084
Thu Jan 10 01:55:03 2019	1547052903	0	1302	1302	1209
Thu Jan 10 01:55:06 2019	1547052906	0	1319	1319	148
Thu Jan 10 01:55:06 2019	1547052906	0	1319	1320	242
Thu Jan 10 01:55:06 2019	1547052906	0	1322	1322	505
Thu Jan 10 01:55:07 2019	1547052907	0	1322	1323	858
Thu Jan 10 01:55:07 2019	1547052907	0	1329	1329	1060
Thu Jan 10 01:55:07 2019	1547052907	0	1329	1329	1212
Thu Jan 10 01:55:05 2019	1547052905	0	1330	1330	573
